date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:55	233/233	---M--	302	error ('Found')	text/html	date:Fri,%2007%20Oct%202022%2002:35:54%20GMT	http://www.seoulmusicfestival.co.kr/robots.txt		(from )
11:35:55	12625/12625	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:35:55%20GMT	http://www.seoulmusicfestival.co.kr/	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/index.html	(from )
11:35:55	7507/7507	---M--	200	added ('OK')	image/jpeg	etag:%221d53-5e9113cd71e00%22	http://www.seoulmusicfestival.co.kr/img/smuf_og.jpg	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/smuf_og.jpg	(from http://www.seoulmusicfestival.co.kr/)
11:35:55	197/197	---M--	200	added ('OK')	text/css	etag:%22c5-5e7e3ff28a700%22	http://www.seoulmusicfestival.co.kr/font/font.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/font/font.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:56	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%22592-5e7e3ff472b80%22	http://www.seoulmusicfestival.co.kr/utils/css/reset.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/utils/css/reset.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:56	117/117	---M--	200	added ('OK')	text/css	etag:%2275-5e7e3ff472b80%22	http://www.seoulmusicfestival.co.kr/utils/css/scroll.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/utils/css/scroll.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:56	12482/12482	---MCZ	200	added ('OK')	text/css	etag:W/%2230c2-5ea44eb38c65e%22	http://www.seoulmusicfestival.co.kr/css/l.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/css/l.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:57	21137/21137	---MCZ	200	added ('OK')	text/css	etag:W/%225291-5e88887420380%22	http://www.seoulmusicfestival.co.kr/css/m.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/css/m.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:57	52891/52891	---MCZ	200	added ('OK')	text/css	etag:W/%22ce9b-5ea52c7761637%22	http://www.seoulmusicfestival.co.kr/css/sb.css	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/css/sb.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:57	16468/16468	---M-Z	200	added ('OK')	text/css	etag:W/%224054-uCO1bndcKRHt5XnY45p1py3ZIgk%22	https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:58	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/seoulmusicfestival/unpkg.com/aos@2.3.1/dist/aos.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:58	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/seoulmusicfestival/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:58	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/seoulmusicfestival/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from http://www.seoulmusicfestival.co.kr/)
11:35:58	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/seoulmusicfestival/unpkg.com/aos@2.3.1/dist/aos.js	(from http://www.seoulmusicfestival.co.kr/)
11:35:59	2766/2766	---M--	200	added ('OK')	image/png	etag:%22ace-5e7e3ff472b80%22	http://www.seoulmusicfestival.co.kr/img/logo/seoul_logoW.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/logo/seoul_logoW.png	(from http://www.seoulmusicfestival.co.kr/)
11:35:59	5157/5157	---M--	200	added ('OK')	image/png	etag:%221425-5e8883a9b3600%22	http://www.seoulmusicfestival.co.kr/img/logo/logo.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/logo/logo.png	(from http://www.seoulmusicfestival.co.kr/)
11:35:59	15503/15503	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c8f-5e7ebcc17dcc0%22	http://www.seoulmusicfestival.co.kr/lib/js/itboard.js	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/lib/js/itboard.js	(from http://www.seoulmusicfestival.co.kr/)
11:36:00	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Oct%202022%2002:36:00%20GMT	http://www.seoulmusicfestival.co.kr/kor	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor	(from http://www.seoulmusicfestival.co.kr/)
11:36:01	17575/17575	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:00%20GMT	http://www.seoulmusicfestival.co.kr/kor/about/outline.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/about/outline.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:01	31015/31015	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:00%20GMT	http://www.seoulmusicfestival.co.kr/kor/	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/index.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:01	14449/14449	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:00%20GMT	http://www.seoulmusicfestival.co.kr/kor/about/schedule.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/about/schedule.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:01	13835/13835	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:01%20GMT	http://www.seoulmusicfestival.co.kr/kor/about/map.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/about/map.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:01	17261/17261	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:01%20GMT	http://www.seoulmusicfestival.co.kr/kor/about/location.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/about/location.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	16976/16976	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:01%20GMT	http://www.seoulmusicfestival.co.kr/kor/lineup/lineup_1013.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/lineup/lineup_1013.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	97162/97162	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217b8a-5e7e3ff566dc0%22	http://www.seoulmusicfestival.co.kr/utils/plugin/jquery.js	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/utils/plugin/jquery.js	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	33461/33461	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:02%20GMT	http://www.seoulmusicfestival.co.kr/kor/program/main_stage.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/program/main_stage.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	15045/15045	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:02%20GMT	http://www.seoulmusicfestival.co.kr/kor/program/sub_stage.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/program/sub_stage.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	21829/21829	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:02%20GMT	http://www.seoulmusicfestival.co.kr/kor/program/side_event.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/program/side_event.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:02	13980/13980	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:02%20GMT	http://www.seoulmusicfestival.co.kr/kor/gallery/gallery.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/gallery/gallery.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:03	15565/15565	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:02%20GMT	http://www.seoulmusicfestival.co.kr/kor/gallery/smuf2019.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/gallery/smuf2019.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:03	15737/15737	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:03%20GMT	http://www.seoulmusicfestival.co.kr/kor/community/notice.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/community/notice.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:03	18868/18868	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:03%20GMT	http://www.seoulmusicfestival.co.kr/kor/community/inquiry.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/community/inquiry.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:03	13813/13813	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2002:36:03%20GMT	http://www.seoulmusicfestival.co.kr/kor/community/faq.php	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/kor/community/faq.html	(from http://www.seoulmusicfestival.co.kr/)
11:36:04	1104/1104	---M--	200	added ('OK')	image/png	etag:%22450-5e7e3ff472b80%22	http://www.seoulmusicfestival.co.kr/img/icon/sh01.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/icon/sh01.png	(from http://www.seoulmusicfestival.co.kr/)
11:36:04	8305/8305	---M--	200	added ('OK')	image/png	etag:%222071-5e9113cd71e00%22	http://www.seoulmusicfestival.co.kr/img/header_img.png	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/img/header_img.png	(from http://www.seoulmusicfestival.co.kr/)
11:36:04	4206/4206	---MCZ	200	added ('OK')	application/javascript	etag:W/%22106e-5e9269fd32fc0%22	http://www.seoulmusicfestival.co.kr/js/hea.js	C:/My%20Web%20Sites/seoulmusicfestival/www.seoulmusicfestival.co.kr/js/hea.js	(from http://www.seoulmusicfestival.co.kr/)
